Gold (OG|GC) OG1U6 (0.25 DTE) vs 4479.1 (-25.8) - Intraday Volume
Put: 1,081  Call: 933  Vol: 53.39  Vol Chg: 19.16  Future Chg: -25.8
Strike,Call,Put,Vol Settle
4295,0,1,0
4300,0,34,0.5109442468592533
4305,0,0,0.5029382243719738
4310,0,3,0.49507346493373916
4315,0,0,0.4873557699202138
4320,0,0,0.47979074024442525
4325,0,5,0.47238377638495876
4330,1,0,0.46514007840960403
4335,0,0,0.45806464592260454
4340,0,79,0.45116227809012344
4345,0,3,0.4444375736738948
4350,1,8,0.4378949309584641
4355,0,0,0.4315385478157623
4360,0,80,0.42537242168145895
4365,0,4,0.41940034954677685
4370,0,5,0.4136259279557635
4375,0,9,0.40805255304712773
4380,9,12,0.4026834204987608
4385,0,4,0.3975215255486546
4390,1,22,0.39256966301854845
4395,9,12,0.3878304272739115
4400,2,121,0.3833062122512274
4405,0,4,0.37899921145799453
4410,0,4,0.37491141795544536
4415,0,0,0.371044624366732
4420,0,8,0.36740042288602126
4425,0,17,0.36398020526667096
4430,0,50,0.36078516282486817
4435,0,4,0.35781628643871954
4440,1,16,0.35507436655734637
4445,0,5,0.3525599931863326
4450,4,56,0.35027355589318176
4455,0,43,0.3482152438182311
4460,5,5,0.34638504565191397
4465,2,15,0.34478274965749733
4470,0,95,0.3434079436592583
4475,1,12,0.3422600150515791
4480,18,118,0.3413381507716622
4485,8,27,0.34064133734227653
4490,7,20,0.3401683608426538
4495,2,45,0.33991780691576423
4500,346,14,0.3398880607519459
4505,54,1,0.3400773071361982
4510,11,0,0.340483530385427
4515,55,0,0.34110451440392353
4520,6,54,0.3419378426469848
4525,59,0,0.3429808981372844
4530,14,0,0.3442308634494111
4535,1,0,0.3456847207453393
4540,1,0,0.34733925172895397
4545,18,0,0.3491910376778833
4550,56,0,0.35123645942712756
4555,3,0,0.3534716973808827
4560,7,0,0.35589273150435474
4565,9,0,0.35849534132012195
4570,69,0,0.3612751059281436
4575,32,2,0.3642274039784752
4580,2,0,0.3673474136912773
4585,1,0,0.37063011284499225
4590,18,54,0.37407027878361987
4595,0,0,0.3776624884276316
4600,54,0,0.3814011182348622
4605,2,0,0.38528034424325597
4610,0,3,0.3892941420599527
4615,1,0,0.3934362868403696
4620,5,0,0.39770035330548126
4625,20,0,0.402079715758191
4630,2,0,0.4065675480387654
4635,0,0,0.4111568235566665
4640,0,0,0.415840315306923
4645,0,0,0.4206105958255648
4650,7,0,0.42546003721599845
4655,0,0,0.4303808111453691
4660,0,0,0.43536488885365543
4665,0,0,0.4404040411218375
4670,0,0,0.4454898383228283
