Gold (OG|GC) G1RU6 (0.75 DTE) vs 4400.8 (+38) - Open Interest
Put: 2,988  Call: 2,735  Vol: 26.65  Vol Chg: 0.39  Future Chg: 38
Strike,Call,Put,Vol Settle
4245,0,1,0.30231516904859745
4250,0,206,0.2994359355307097
4255,0,1,0.2966406434043165
4260,0,1,0.2939329442065173
4265,0,8,0.2913163258217537
4270,0,17,0.28879411247316966
4275,0,185,0.2863694647221564
4280,0,38,0.2840453794747191
4285,0,1,0.28182468997829346
4290,0,107,0.27971006581992697
4295,0,28,0.2777040129321904
4300,0,110,0.27580887358362816
4305,0,24,0.27402682639058185
4310,1,24,0.27235988630218344
4315,1,23,0.270809904617181
4320,0,5,0.26937856897802703
4325,6,60,0.2680674033526884
4330,20,25,0.26687776807193586
4335,0,1,0.2658108597888713
4340,9,8,0.26486771151439825
4345,2,6,0.26404919258311565
4350,11,120,0.2633560086947
4355,0,9,0.26278870187070424
4360,3,9,0.2623476504786595
4365,14,4,0.2620330692261632
4370,100,26,0.26184500917406694
4375,32,42,0.2617833577105557
4380,21,4,0.2618478385720664
4385,21,4,0.26203801183555697
4390,9,12,0.26235327391805185
4395,2,5,0.26279285757982507
4400,50,96,0.263355831926674
4405,3,6,0.26404110239400325
4410,4,11,0.26484741076728824
4415,0,0,0.26577333517252555
4420,3,4,0.2668172900821446
4425,54,36,0.2679775262995463
4430,3,0,0.26925213097456435
4435,2,0,0.2706390276007369
4440,3,0,0.2721359760125779
4445,1,1,0.2737405723764823
4450,103,200,0.27545024922164885
4455,0,2,0.27726227539642423
4460,6,1,0.27917375609558803
4465,5,0,0.2811816328721761
4470,14,3,0.2832826835992819
4475,27,84,0.285473522506436
4480,35,0,0.28775060015414056
4485,55,0,0.2901102034484211
4490,11,0,0.29254845564082643
4495,2,1,0.29506131631751487
4500,66,65,0.29764458141016803
4505,13,0,0.30029388319599093
4510,10,0,0.30300469027588406
4515,10,0,0.30577230761809915
4520,49,1,0.3085918765164024
4525,33,22,0.3114583746073549
4530,3,1,0.31436661587122217
4535,15,0,0.31731125063106447
4540,10,0,0.3202867655490991
4545,5,0,0.3232874836267001
4550,83,26,0.3263075642116746
4555,0,0,0.32934100299280544
4560,2,0,0.3323816319953039
