Gold (OG|GC) G4TM6 (0.24 DTE) vs 4144.5 (-58.2) - Open Interest
Put: 1,900  Call: 1,888  Vol: 36.94  Vol Chg: 3.91  Future Chg: -58.2
Strike,Call,Put,Vol Settle
4030,0,6,0.4638785764291242
4035,0,12,0.4579173288439051
4040,0,0,0.45182038478196773
4045,0,1,0.4456080730105896
4050,0,104,0.43930025392910466
4055,0,1,0.43291631971806055
4060,0,3,0.4264751942209841
4065,0,2,0.4199953330462449
4070,0,2,0.41349472346701077
4075,3,57,0.4069908844867314
4080,0,1,0.40050086683368136
4085,0,1,0.3940412529227615
4090,0,24,0.38762815691370633
4095,0,2,0.38127722464923863
4100,0,198,0.375003633698725
4105,0,8,0.3688220933490811
4110,0,2,0.3627468445847626
4115,0,9,0.35679166011505004
4120,0,9,0.35096984434858314
4125,0,19,0.34529423343883536
4130,0,7,0.33977719521863037
4135,1,4,0.33443062922742683
4140,0,5,0.3292659667549742
4145,0,22,0.3242941707794671
4150,151,174,0.31952573599301104
4155,0,6,0.31497068879434664
4160,1,8,0.3106385873143154
4165,0,32,0.30653852138493676
4170,6,71,0.3026791125394084
4175,1,73,0.2990685140412097
4180,0,51,0.2957144108659122
4185,0,6,0.29262401968662743
4190,3,43,0.2898040889031108
4195,1,57,0.2872608986308478
4200,28,126,0.2850002606810449
4205,8,10,0.28302751858245756
4210,33,4,0.28134754759594216
4215,8,5,0.27996475466170523
4220,65,12,0.27888307847206306
4225,48,29,0.2781059893932252
4230,20,1,0.2776364895289589
4235,34,0,0.2774771126914857
4240,12,1,0.27762992439420486
4245,16,5,0.27809652187715983
4250,76,19,0.2788780340924859
4255,19,0,0.27997512168258254
4260,27,0,0.281387977032864
