Gold (OG|GC) G4WM6 (0.47 DTE) vs 4091.7 (-57.7) - Open Interest
Put: 1,346  Call: 1,616  Vol: 28.39  Vol Chg: 0.06  Future Chg: -57.7
Strike,Call,Put,Vol Settle
3970,0,0,0.5026742010077214
3975,0,93,0.4954877342979671
3980,0,0,0.48821147825765365
3985,0,3,0.4808610833615603
3990,0,1,0.47345194069930585
3995,0,0,0.46599918194988277
4000,0,31,0.4585176794189465
4005,0,0,0.45102204598879325
4010,0,0,0.4435266351674727
4015,0,0,0.43604554106605065
4020,0,0,0.42859259838223807
4025,1,39,0.4211813824476849
4030,0,0,0.4138252091615868
4035,0,0,0.40653713505980704
4040,0,1,0.39932995726940135
4045,0,0,0.3922162135168037
4050,0,34,0.3852081821487445
4055,0,4,0.37831788209223305
4060,0,0,0.3715570729009414
4065,0,0,0.3649372547306484
4070,0,0,0.35846966832286853
4075,0,39,0.35216529503941274
4080,0,0,0.3460348568514746
4085,0,4,0.34008881631416443
4090,0,0,0.33433737660925544
4095,0,0,0.3287904815069851
4100,0,47,0.32345781539424934
4105,0,0,0.31834880324367987
4110,0,1,0.3134726106609378
4115,0,0,0.308838143824687
4120,0,0,0.3044540495484398
4125,8,22,0.3003287152196208
4130,0,3,0.29647026885049854
4135,0,5,0.2928865790590862
4140,0,0,0.2895852550509517
4145,0,5,0.2865736466492308
4150,61,35,0.283858844288261
4155,0,3,0.28144767898083956
4160,0,2,0.279346722376431
4165,30,4,0.27756228669386473
4170,0,20,0.2761004247913661
4175,1,36,0.27496693011835305
4180,0,4,0.2741673367090698
4185,0,2,0.27370691922897095
4190,0,2,0.2735906929392513
4195,0,2,0.2738234136968458
4200,87,31,0.27440957797352894
4205,1,0,0.2753534228540957
4210,17,3,0.27665892599088693
4215,2,0,0.27832980569201027
