Gold (OG|GC) OGN6 (0.48 DTE) vs 3998.1 (-10.7) - Open Interest
Put: 63,500  Call: 113,450  Vol: 47.01  Vol Chg: 0.45  Future Chg: -10.7
Strike,Call,Put,Vol Settle
3800,2056,4335,0.7579169286295837
3805,0,46,0.7497727063158663
3810,0,73,0.7416031500304143
3815,1,64,0.7334154386044247
3820,0,43,0.7252166943510474
3825,3,84,0.7170139830745939
3830,0,47,0.7088143140656484
3835,0,69,0.70062464009834
3840,0,48,0.6924518574392096
3845,0,24,0.6843028058386835
3850,66,320,0.6761842685347119
3855,0,99,0.6681029722541325
3860,1,65,0.660065587208237
3865,7,108,0.652078727097205
3870,0,192,0.6441489491083985
3875,25,232,0.6362827539138607
3880,1,60,0.6284865856770239
3885,1,126,0.620766832044751
3890,0,163,0.6131298241526792
3895,0,77,0.605581836623287
3900,21,1102,0.5981290875647574
3905,1,46,0.5907777385745021
3910,1,92,0.5835338947368882
3915,0,30,0.5764036046222145
3920,0,286,0.569392860288076
3925,35,158,0.5625075972802733
3930,0,109,0.5557536946307664
3935,0,81,0.5491369748577881
3940,0,110,0.542663203967777
3945,2,160,0.5363380914561731
3950,821,626,0.5301672903017334
3955,1,172,0.5241563969725576
3960,2,224,0.5183109514244961
3965,2,182,0.5126364370977399
3970,0,89,0.5071382809212537
3975,2,80,0.5018218533132313
3980,1,122,0.49669246817586554
3985,0,286,0.4917553828986456
3990,11,149,0.4870157983610852
3995,0,61,0.482478858924992
4000,55,2434,0.4781496524449267
4005,13,171,0.47403321025683454
4010,13,87,0.47013450718861804
4015,1,97,0.46645846155240633
4020,3,159,0.46300993514933
4025,42,157,0.45979373326667883
4030,11,103,0.4568146046780157
4035,3,56,0.45407724164476804
4040,1,83,0.45158627991474987
4045,1,89,0.44934629872534515
4050,24,585,0.4473618207987329
4055,0,106,0.44563731234472925
4060,2,121,0.4441771830613561
4065,2,176,0.4429857861309756
4070,2,88,0.4420674182249513
4075,6,173,0.4414263195035346
4080,42,130,0.44106667361029395
4085,5,64,0.44099260767870874
4090,26,117,0.44120819232966824
4095,7,186,0.44171744166624194
4100,394,1086,0.44252431328618513
4105,22,56,0.44363270826875123
4110,17,124,0.44504647118174034
4115,14,94,0.44676939008286354
4120,32,175,0.4488051965122395
4125,89,329,0.4511575654994431
4130,62,155,0.453830115561459
4135,7,99,0.4568264087017724
4140,19,65,0.46014995041105067
4145,54,226,0.463804189667826
4150,178,1077,0.46779251893667606
4155,31,490,0.47211827417163477
4160,44,288,0.4767847348086889
4165,41,175,0.4817951237757825
4170,61,244,0.4871526074866779
4175,52,257,0.4928602958416377
4180,101,67,0.4989212422278797
4185,90,231,0.5053384435218504
4190,70,154,0.5121148400837683
4195,22,123,0.5192533157628532
4200,967,1678,0.5267566978959621
4205,39,107,0.5346277573057705
