Gold (OG|GC) G5MM6 (0.13 DTE) vs 4041.3 (-55) - Open Interest
Put: 2,471  Call: 1,693  Vol: 39.91  Vol Chg: 18.70  Future Chg: -55
Strike,Call,Put,Vol Settle
3955,2,1,0.24583559535415134
3960,0,3,0.2428884207657802
3965,0,2,0.23998612479113035
3970,0,6,0.2371317088517344
3975,1,257,0.234328114612822
3980,15,15,0.23157822398218286
3985,0,24,0.22888485911187217
3990,0,9,0.2262507823930946
3995,1,6,0.2236786964648445
4000,24,207,0.22117124420071832
4005,0,8,0.21873100872585383
4010,1,39,0.21636051340101403
4015,4,3,0.21406222183372847
4020,2,2,0.21183853787215412
4025,6,19,0.20969180560769018
4030,3,19,0.20762430937452336
4035,1,2,0.20563827374894572
4040,0,10,0.20373586354776307
4045,46,18,0.2019191838351162
4050,109,151,0.20019027991406801
4055,0,4,0.19855113733206053
4060,17,86,0.19700368187795902
4065,17,38,0.1955497795836436
4070,9,10,0.1941912367240093
4075,15,12,0.19292979981537428
4080,8,16,0.19176715561752644
4085,6,14,0.1907049311339506
4090,31,99,0.18974469360773583
4095,20,1,0.18888795052635032
4100,144,236,0.188136149621414
4105,35,14,0.18749067886528792
4110,7,1,0.18695286647061948
4115,17,0,0.18652398089830058
4120,10,1,0.18620523084587148
4125,37,24,0.1859977652593443
4130,40,0,0.18590267332069743
