Gold (OG|GC) G1WN6 (0.13 DTE) vs 4104.5 (+66) - Open Interest
Put: 4,116  Call: 2,730  Vol: 39.47  Vol Chg: 5.02  Future Chg: 66
Strike,Call,Put,Vol Settle
4015,0,47,0.3624165605306189
4020,18,66,0.35942631536818226
4025,43,115,0.35662275469985616
4030,1,29,0.3540134827280781
4035,27,24,0.35160577178612584
4040,23,32,0.34940656232811307
4045,12,14,0.34742246294899815
4050,177,112,0.3456597503827652
4055,16,0,0.34412436949332914
4060,10,20,0.34282193328272115
4065,15,1,0.34175772287471773
4070,34,2,0.34093668754576356
4075,22,35,0.34036344468222524
4080,30,3,0.3400422798431464
4085,28,2,0.3399771466720267
4090,38,0,0.34017166699049994
4095,14,6,0.3406291307246647
4100,126,209,0.34135249595601636
4105,106,3,0.34234438887688157
4110,9,1,0.34360710385044513
4115,13,1,0.3451426033216194
4120,13,0,0.3469525179189077
4125,35,18,0.3490381463770973
4130,42,0,0.3514004555700012
4135,11,1,0.3540400805168247
4140,27,0,0.3569573243621562
4145,3,1,0.3601521583723297
4150,81,36,0.3636242219718042
4155,8,0,0.3673728227040556
4160,6,0,0.37139693625158543
4165,6,1,0.3756952064277357
4170,7,0,0.38026594517850754
4175,25,58,0.3851071325962039
4180,66,0,0.3902164168921445
4185,5,0,0.3955911144175843
4190,7,0,0
4195,14,0,0
