Gold (OG|GC) G1RN6 (0.23 DTE) vs 4081.6 (-0.8) - Open Interest
Put: 4,555  Call: 4,064  Vol: 61.77  Vol Chg: 16.09  Future Chg: -0.8
Strike,Call,Put,Vol Settle
3895,0,4,0.5720186271305465
3900,1,409,0.5688581254794371
3905,0,6,0.5656203696926241
3910,0,43,0.5623138838436716
3915,0,24,0.5589470219242685
3920,0,9,0.5555279678774241
3925,0,57,0.5520647355656365
3930,0,8,0.5485651687781683
3935,0,4,0.5450369412565124
3940,0,36,0.5414875566593764
3945,0,28,0.5379243485776897
3950,2,325,0.5343544805336933
3955,0,9,0.530784945997766
3960,0,37,0.5272225683470424
3965,0,38,0.5236740009095229
3970,1,40,0.520145726939063
3975,2,93,0.5166440596217399
3980,23,15,0.5131751420726687
3985,0,16,0.5097449473482811
3990,3,20,0.5063592784190405
3995,10,32,0.5030237682085499
4000,66,821,0.4997438795662674
4005,0,46,0.49652490526341353
4010,1,15,0.4933719680129798
4015,0,14,0.49029002046063397
4020,6,41,0.48728384517153245
4025,18,78,0.4843580546571502
4030,83,24,0.4815170913639122
4035,12,15,0.4787652276504559
4040,28,50,0.47610656582583033
4045,18,11,0.47354503812357507
4050,129,189,0.47108440671308927
4055,8,6,0.46872826369053655
4060,49,25,0.4664800310852115
4065,8,16,0.46434296085953974
4070,63,7,0.46232013491589896
4075,30,203,0.46041446507388173
4080,39,32,0.4586286930939423
4085,33,6,0.456965390676487
4090,32,27,0.4554269594282232
4095,19,7,0.4540156309149097
4100,245,313,0.4527334666236129
4105,4,3,0.4515823579718017
4110,42,14,0.4505640263096211
4115,7,0,0.44968002292625897
4120,65,25,0.44893172902902734
4125,124,13,0.44832035577155693
4130,18,1,0.4478469442351525
4135,21,2,0.44751236542379047
4140,19,1,0.4473173202823091
4145,17,1,0.44726233969640816
4150,198,21,0.4473477844617264
4155,10,0,0.44757384532613287
4160,20,1,0.44794054296471586
4165,10,0,0.448447727968869
4170,49,0,0.449095080882671
4175,73,11,0.4498821121751462
4180,37,0,0.4508081622429927
4185,16,0,0.4518724014201325
4190,4,0,0.4530738299740733
4195,9,0,0.4544112780913565
4200,303,64,0.4558834059162109
4205,3,0,0.45748870349234494
4210,41,0,0.4592254908193354
4215,15,0,0.46109191782534253
4220,19,0,0.46308596435846994
4225,61,30,0.4652054402140493
4230,21,1,0.4674479851173601
4235,18,0,0.469811068709987
4240,7,0,0.47229199057937876
4245,2,0,0.4748878802492982
4250,121,32,0.47759569715799444
4255,4,0,0.4804122306959471
4260,16,2,0.4833341001753979
4265,6,0,0.48635775483444377
4270,45,0,0.48947947385113366
4275,92,62,0.49269536634619726
