Gold (OG|GC) G1MN6 (0.13 DTE) vs 4148.4 (+22.7) - Open Interest
Put: 2,447  Call: 3,105  Vol: 26.56  Vol Chg: 8.14  Future Chg: 22.7
Strike,Call,Put,Vol Settle
4090,19,28,0.19359382190907581
4095,0,1,0.19244316415256435
4100,187,256,0.19135967419913413
4105,4,4,0.19034496861877415
4110,23,16,0.1894006270886166
4115,3,53,0.18852819239532437
4120,18,23,0.18772917043202142
4125,49,12,0.18700503019920234
4130,52,26,0.18635720380552812
4135,7,13,0.18578708646691666
4140,18,5,0.1852960365083618
4145,11,0,0.1848853753608637
4150,159,17,0.1845563875630205
4155,5,1,0.1843103207625063
4160,59,2,0.18414838571288783
4165,33,1,0.18407175627748984
4170,14,0,0.1840815694260982
4175,52,1,0.1841789252360968
4180,14,0,0.18436488689121688
4185,2,0,0.1846404806864257
4190,34,0,0.18500669602076414
4195,20,1,0.18546448540348592
4200,426,91,0.1860147644498511
4205,7,0,0.1866584118828314
4210,2,14,0.18739626953492916
