Gold (OG|GC) G2WN6 (0.24 DTE) vs 4052.5 (-104.9) - Open Interest
Put: 3,196  Call: 2,341  Vol: 44.62  Vol Chg: 9.76  Future Chg: -104.9
Strike,Call,Put,Vol Settle
3920,0,8,0
3925,0,89,0
3930,0,4,0
3935,0,3,0
3940,0,2,0
3945,0,14,0
3950,0,54,0
3955,0,7,0
3960,0,5,0
3965,0,2,0
3970,0,2,0
3975,8,54,0
3980,1,16,0
3985,0,0,0
3990,0,2,0
3995,0,3,0
4000,107,509,0.42505269336834317
4005,0,16,0.41833278465855983
4010,0,1,0.4115083492542908
4015,0,11,0.4046077440070803
4020,0,12,0.3976581951974367
4025,1,47,0.39068579853483243
4030,0,1,0.3837155191358761
4035,0,2,0.3767711915606924
4040,1,14,0.36987551975471433
4045,0,51,0.36305007709597703
4050,33,372,0.35631530639875564
4055,2,6,0.3496905198771856
4060,1,101,0.3431938991561765
4065,2,11,0.3368424953187059
4070,0,13,0.33065222880759393
4075,25,131,0.32463788954919437
4080,1,30,0.3188131368224276
4085,4,67,0.31319049940429977
4090,2,12,0.3077813753843657
4095,0,20,0.30259603240483557
4100,46,186,0.2976436073840887
4105,1,7,0.2929321067967976
4110,0,41,0.2884684064410976
4115,2,5,0.28425825153681217
4120,3,46,0.2803062567982124
4125,67,62,0.2766159062666702
4130,7,21,0.2731895534598152
4135,15,14,0.27002842131332727
4140,3,9,0.26713260216638446
4145,9,76,0.2645010577289213
4150,108,38,0.2621316192562517
4155,113,77,0.26002098729804857
4160,24,34,0.25816473189843236
4165,42,65,0.2565572924359003
4170,65,82,0.25519197787798475
4175,226,99,0.25406096635197173
4180,180,60,0.2531553056614939
4185,110,46,0.25246491289362893
4190,39,41,0.25197857454259065
