Gold (OG|GC) G2MN6 (0.13 DTE) vs 4041.4 (-72.3) - Open Interest
Put: 2,966  Call: 2,543  Vol: 39.98  Vol Chg: 20.76  Future Chg: -72.3
Strike,Call,Put,Vol Settle
3955,0,12,0.22304858514416992
3960,0,6,0.22133243032749306
3965,0,4,0.21944599122980435
3970,0,4,0.21740611328823434
3975,0,13,0.21522920635561604
3980,0,7,0.21293124471958436
3985,0,6,0.21052776711167098
3990,1,9,0.20803387670730444
3995,0,5,0.20546424111307715
4000,1,420,0.20283309237311187
4005,0,11,0.2001542269699712
4010,0,1,0.1974410058301146
4015,0,4,0.19470635431298433
4020,9,126,0.19196276220282016
4025,10,57,0.18922228374412953
4030,0,49,0.18649653761985974
4035,0,23,0.18379670692866057
4040,1,31,0.18113353922217357
4045,0,21,0.17851734648502315
4050,69,371,0.17595800514482107
4055,0,25,0.17346495606216195
4060,0,20,0.17104720453335176
4065,2,29,0.16871332030586927
4070,0,116,0.16647143755926663
4075,36,69,0.1643292548969839
4080,4,12,0.16229403537909093
4085,0,39,0.16037260648317897
4090,2,12,0.15857136014528805
4095,0,3,0.15689625273444108
4100,409,283,0.1553528050571913
4105,2,11,0.15394610234216088
4110,28,17,0.15268079428642523
4115,58,4,0.15156109498639125
4120,19,18,0.15059078300873807
4125,127,77,0.1497732013467612
4130,105,8,0.14911125743674347
