Gold (OG|GC) OG3N6 (0.48 DTE) vs 3991.3 (-0.8) - Open Interest
Put: 6,154  Call: 7,878  Vol: 33.93  Vol Chg: 0.03  Future Chg: -0.8
Strike,Call,Put,Vol Settle
3850,0,250,0.4942709071178797
3855,0,1,0.4878780442941206
3860,0,0,0.48141997876655296
3865,0,2,0.474913078670852
3870,0,14,0.4683734706145515
3875,0,130,0.461817039680227
3880,0,14,0.4552594294332266
3885,0,16,0.448716041908483
3890,0,36,0.4422020376259752
3895,0,12,0.43573233557754065
3900,1,598,0.42932161323642504
3905,0,48,0.4229843065568275
3910,0,15,0.416734609957075
3915,0,14,0.4105864763396312
3920,0,58,0.40455361708791315
3925,5,174,0.398649502063563
3930,0,42,0.3928873596014455
3935,0,120,0.38728017650237234
3940,1,46,0.38184069806402476
3945,0,12,0.3765814280545783
3950,2,300,0.3715146287145217
3955,0,12,0.3666523207652972
3960,0,18,0.36200628341339325
3965,0,12,0.35758805432351437
3970,0,27,0.3534089296535967
3975,1,161,0.3494799640293422
3980,0,8,0.345811970563318
3985,0,19,0.34241552084768045
3990,1,29,0.3393009449268902
3995,0,10,0.33647833135091787
4000,35,512,0.33395752713386173
4005,0,13,0.3317481377725926
4010,1,22,0.32985952723538503
4015,5,20,0.32830081797146704
4020,5,29,0.32708089090556314
4025,27,152,0.3262083854415323
4030,2,123,0.32569169945327303
4035,3,28,0.3255389893083702
4040,2,11,0.3257581698380818
4045,1,11,0.32635691434825276
4050,149,254,0.3273426546347764
4055,25,21,0.3287225809572192
4060,58,11,0.3305036420670149
4065,3,9,0.33269254518199887
4070,19,22,0.33529575600005046
4075,40,91,0.33831949869727396
4080,22,6,0.3417697559198132
4085,21,13,0.34565226880476985
4090,68,2,0.34997253695564723
4095,12,0,0.3547358184650875
4100,298,231,0.35994712988303945
4105,13,0,0.36561124625404773
4110,56,0,0.37173270108996803
4115,13,1,0.378315786391795
4120,79,0,0.3853645526232867
4125,168,120,0.3928828087373404
4130,211,0,0.40087412215871154
4135,15,0,0.40934181878219533
4140,11,0,0.41828898299627326
