Gold (OG|GC) G3MN6 (0.23 DTE) vs 4038 (+19.2) - Open Interest
Put: 3,324  Call: 2,193  Vol: 32.74  Vol Chg: 16.56  Future Chg: 19.2
Strike,Call,Put,Vol Settle
3940,0,16,0.19699980408040574
3945,0,24,0.19414349437283818
3950,2,673,0.19136443715251517
3955,0,29,0.1886722015497071
3960,1,252,0.18607589654129697
3965,4,55,0.1835841709162196
3970,1,63,0.1812052133063844
3975,3,137,0.17894675215393363
3980,2,25,0.1768160557421652
3985,7,23,0.17481993218098069
3990,11,67,0.17296472938414809
3995,52,10,0.17125633513751382
4000,71,189,0.16970017701896722
4005,7,4,0.16830122243754886
4010,70,14,0.1670639786416359
4015,34,38,0.1659924926880194
4020,17,27,0.16509035148101248
4025,92,25,0.164360681744256
4030,33,2,0.16380615001889964
4035,115,1,0.1634289626908867
4040,38,1,0.1632308659663977
4045,9,3,0.16321314587366942
4050,104,19,0.1633766282666329
4055,8,2,0.16372167884401279
4060,16,2,0.16424820309293864
4065,8,0,0.1649556463744375
4070,31,0,0.16584299386886414
4075,53,14,0.16690877053952136
4080,13,1,0.16815104122542834
4085,3,1,0.16956741057583713
4090,13,0,0.17115502306296548
4095,4,0,0.17291056297472096
4100,409,29,0.17483025447654654
4105,9,0,0.17690986149136734
4110,8,0,0.17914468782691984
4115,2,0,0.18152957708298345
4120,11,1,0.18405891271322616
4125,192,2,0.18672661796517787
4130,20,1,0.18952615594753297
4135,38,0,0.19245052956102882
