Gold (OG|GC) G4WN6 (0.48 DTE) vs 4135.7 (+59.3) - Open Interest
Put: 2,207  Call: 1,992  Vol: 23.68  Vol Chg: 0.00  Future Chg: 59.3
Strike,Call,Put,Vol Settle
4035,14,14,0.2583533997167251
4040,16,25,0.2546064079251664
4045,18,12,0.25113931944360957
4050,66,69,0.24796427628825768
4055,15,169,0.24509208673407556
4060,23,46,0.24253222530023777
4065,11,52,0.24029283287745784
4070,14,12,0.23838071648424375
4075,121,76,0.2368013494888146
4080,28,4,0.2355588716272905
4085,159,23,0.23465608870901633
4090,25,3,0.2340944729730836
4095,13,0,0.23387416294644936
4100,262,46,0.23399396328022704
4105,20,0,0.23445134503708687
4110,37,0,0.23524244549844298
4115,17,1,0.23636206824085093
4120,34,1,0.23780368313236977
4125,159,6,0.23955942622342263
4130,9,0,0.2416200999832654
4135,13,0,0.24397517304169014
4140,22,0,0.2466127803272684
4145,0,0,0.24951972310373094
4150,179,4,0.2526814688098966
4155,64,1,0.2560821512415714
4160,12,0,0.25970457045696094
4165,3,0,0.2635301927366527
4170,12,0,0.26753915067456546
4175,19,1,0.27171024317794945
4180,80,0,0.2760209353546088
4185,10,0,0.2804473585856613
4190,1,0,0
4195,20,0,0
4200,131,50,0
4205,4,0,0
4210,0,0,0
4215,0,0,0
4220,43,0,0
4225,9,0,0
4230,6,0,0
4235,0,0,0
4240,0,0,0
