Gold (OG|GC) G1WQ6 (0.22 DTE) vs 4226.2 (+104.3) - Open Interest
Put: 1,853  Call: 2,244  Vol: 37.92  Vol Chg: 7.22  Future Chg: 104.3
Strike,Call,Put,Vol Settle
4115,143,50,0.24234871892258525
4120,43,7,0.24335438810521737
4125,125,17,0.24455454882991035
4130,37,11,0.24594036662165308
4135,50,2,0.24750459638016764
4140,55,1,0.24924158219073433
4145,30,0,0.2511472575679363
4150,186,11,0.25321914525920874
4155,21,0,0.2554563573357882
4160,79,3,0.2578595951999887
4165,32,0,0.26043114956701174
4170,111,1,0.26317490040673874
4175,33,8,0.26609631707469816
4180,11,1,0.26920245815927046
4185,16,0,0.2725019716017414
4190,10,0,0.27600509466719814
4195,13,0,0.27972365391178755
4200,225,7,0.28367106514633633
4205,3,0,0.28786233360733604
4210,28,0,0.29231405370956054
4215,6,0,0.29704440930800047
4220,7,0,0.30207317347230855
4225,55,1,0.3074217085450073
4230,3,1,0.3131129663379397
4235,1,0,0.3191714878703351
4240,26,0,0.3256234033542569
4245,22,0,0.33249643257295247
4250,236,1,0.3398198844079161
4255,0,0,0.3476246571299271
4260,0,0,0.35594323828991037
4265,0,0,0
4270,0,0,0
4275,27,0,0
4280,1,0,0
4285,0,0,0
4290,5,0,0
4295,1,0,0
4300,54,0,0
4305,0,0,0
4310,0,0,0
4315,0,0,0
4320,0,0,0
4325,11,0,0
4330,0,0,0
4335,2,0,0
4340,0,0,0
