Gold (OG|GC) G2MQ6 (0.08 DTE) vs 4376 (+8.9) - Open Interest
Put: 3,099  Call: 3,023  Vol: 22.48  Vol Chg: 4.36  Future Chg: 8.9
Strike,Call,Put,Vol Settle
4335,4,14,0.1779293637957835
4340,6,83,0.17803501178855186
4345,2,16,0.17824197194318003
4350,69,59,0.1785474225910093
4355,11,2,0.17894861075092194
4360,21,6,0.17944285212388422
4365,13,18,0.18002753110340564
4370,8,4,0.18070010076735343
4375,7,2,0.18145808288022636
4380,48,15,0.18229906789565575
4385,12,2,0.18322071495322234
4390,10,74,0.1842207518793657
4395,35,1,0.18529697518806643
4400,206,28,0.18644725008175556
4405,36,0,0.18766951044767666
4410,31,0,0.18896175886266064
4415,8,0,0.19032206658835094
4420,171,0,0.19174857357529618
