Gold (OG|GC) G4TQ6 (0.44 DTE) vs 4667 (+5.6) - Open Interest
Put: 2,629  Call: 3,169  Vol: 29.21  Vol Chg: -0.16  Future Chg: 5.6
Strike,Call,Put,Vol Settle
4530,2,13,0.3370044393468561
4535,5,15,0.3338870839706942
4540,0,13,0.3308037250444613
4545,0,1,0.32776689119418734
4550,96,110,0.32478860845549207
4555,1,11,0.32188040028449905
4560,3,9,0.31905328751236084
4565,0,53,0.3163177883634489
4570,4,7,0.31368391849719046
4575,35,30,0.31116119095895556
4580,1,19,0.3087586161454965
4585,0,4,0.30648470195046684
4590,1,5,0.30434745355523773
4595,0,6,0.3023543736690044
4600,156,147,0.3005124622522999
4605,75,146,0.2988282167825673
4610,14,49,0.297307632099546
4615,4,9,0.2959562004180043
4620,6,45,0.29477891140413703
4625,257,108,0.2937802520573314
4630,25,46,0.29296420686841884
4635,10,17,0.2923342576214054
4640,13,37,0.2918933835808275
4645,5,123,0.29164406138261256
4650,190,75,0.291588265044993
4655,15,22,0.29172746604490385
4660,28,115,0.29206263315973047
4665,89,7,0.2925942326619406
4670,25,16,0.29332222818993614
4675,25,14,0.29424608076078584
4680,19,40,0.2953647488193383
4685,23,24,0.29667668820911786
4690,56,17,0.29817985216141096
4695,28,2,0.29987169128617097
4700,167,17,0.3017491536520538
4705,27,1,0.3038086846827355
4710,105,0,0.3060462272078439
4715,12,8,0.30845722147932975
4720,54,0,0.31103660510780173
4725,52,0,0.3137788131352863
4730,19,5,0.31667777798429597
4735,9,0,0.3197269295087608
4740,4,0,0.32291919494673493
4745,21,0,0.3262469989131205
4750,140,0,0.3297022634469613
4755,29,0,0.3332764079896151
4760,161,0,0.3369603493665636
4765,39,0,0.34074450180560234
4770,23,0,0.3446187769441167
4775,75,0,0.3485725838509097
4780,31,0,0.35259482889523497
4785,25,0,0.35667391592869535
4790,23,0,0.3607977462124836
4795,1,0,0.36495371834826074
4800,127,0,0.36912872839093325
4805,2,0,0.3733091697577038
4810,1,0,0.3774809332935547
