Gold (OG|GC) G1TU6 (0.04 DTE) vs 4374.3 (-72.5) - Open Interest
Put: 2,615  Call: 2,778  Vol: 21.76  Vol Chg: -5.59  Future Chg: -72.5
Strike,Call,Put,Vol Settle
4345,0,1,0.29244149176884093
4350,10,207,0.28793536933881114
4355,0,4,0.2837703252262145
4360,0,8,0.27993016260370496
4365,0,6,0.2763995089844684
4370,1,13,0.27316381637137965
4375,0,83,0.2702093611260352
4380,0,4,0.26752324409244466
4385,1,22,0.26509339047333924
4390,0,14,0.26290854993931134
4395,1,91,0.26095829655605485
4400,10,188,0.2592330287952791
