Gold (OG|GC) G1RU6 (0.27 DTE) vs 4439 (+58.3) - Open Interest
Put: 2,988  Call: 2,735  Vol: 33.66  Vol Chg: 3.53  Future Chg: 58.3
Strike,Call,Put,Vol Settle
4320,0,5,0.29685636057547526
4325,6,60,0.2942683856981603
4330,20,25,0.29194347518750874
4335,0,1,0.2898808693389583
4340,9,8,0.2880794835073175
4345,2,6,0.2865379081140418
4350,11,120,0.2852544086617854
4355,0,9,0.28422692573712993
4360,3,9,0.2834530749632904
4365,14,4,0.2829301470565042
4370,100,26,0.2826551077996555
4375,32,42,0.28262459804409445
4380,21,4,0.28283493371509394
4385,21,4,0.28328210579820734
4390,9,12,0.2839617803656438
4395,2,5,0.28486929854807386
4400,50,96,0.2859996765437245
4405,3,6,0.2873476056411164
4410,4,11,0.2889074521717703
4415,0,0,0.2906732575647766
4420,3,4,0.2926387382885878
4425,54,36,0.294797285921959
4430,3,0,0.2971419670720934
4435,2,0,0.2996655234583159
4440,3,0,0.3023603718247614
4445,1,1,0.3052186040185916
4450,103,200,0.30823198695907195
4455,0,2,0.311391962610287
4460,6,1,0.314689648033891
4465,5,0,0.31811583534727106
4470,14,3,0.32166099173809926
4475,27,84,0.32531525946797046
4480,35,0,0.32906845587967837
4485,55,0,0.3329100733590167
4490,11,0,0.33682927938571083
4495,2,1,0.34081491650613316
4500,66,65,0.3448555023314839
4505,13,0,0.3489392295396101
4510,10,0,0.3530539658968337
4515,10,0,0.3571872542161145
4520,49,1,0.36132631241162017
4525,33,22,0.3654580334205093
4530,3,1,0.3695689853084332
4535,15,0,0.37364541116767214
4540,10,0,0
4545,5,0,0
4550,83,26,0
4555,0,0,0
4560,2,0,0
